codigo_estacion,nombre_estacion,latitud,altura_msnm,anio,mes,dia,temp_min,temp_max
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,26,17.3,20.4
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,27,18.1,20.9
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,28,18.2,21.1
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,29,18.3,21.3
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,30,18.1,20.7
200006,Diego Aracena Iquique Ap.,20&deg 32' 57'' S,48,2023,8,31,17.5,20.2
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,1,4.1,28.0
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,2,2.2,24.9
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,3,1.6,24.2
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,4,1.0,25.8
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,5,3.2,24.6
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,6,2.5,24.2
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,7,4.2,24.6
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,8,5.7,23.7
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,9,4.8,24.7
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,10,3.1,23.9
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,11,1.7,25.9
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,12,1.9,23.7
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,13,1.4,24.3
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,14,2.8,24.7
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,15,0.9,23.5
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,16,1.0,23.2
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,17,0.8,21.8
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,18,-0.4,21.8
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,19,1.7,22.6
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,20,3.9,23.9
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,21,0.0,24.4
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,22,1.7,26.3
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,23,-2.3,26.0
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,24,1.9,25.3
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,25,1.6,24.4
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,26,-0.5,26.0
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,27,5.8,24.7
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,28,6.2,25.3
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,29,4.6,25.5
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,30,4.9,24.3
220002,"El Loa, Calama Ad.",22&deg 29' 53'' S,2321,2023,8,31,3.2,24.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,1,14.3,18.4
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,2,16.5,20.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,3,16.5,19.5
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,4,15.9,19.2
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,5,16.4,19.2
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,6,14.7,19.0
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,7,14.3,18.9
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,8,15.6,18.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,9,15.6,19.1
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,10,15.9,18.1
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,11,15.8,21.2
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,12,15.4,19.7
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,13,16.1,19.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,14,15.9,20.1
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,15,12.9,19.1
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,16,15.1,18.9
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,17,14.7,18.4
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,18,15.3,18.3
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,19,13.5,19.8
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,20,14.2,20.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,21,13.6,19.9
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,22,15.6,18.4
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,23,15.0,19.0
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,24,16.0,19.8
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,25,15.1,18.0
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,26,14.3,17.9
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,27,15.3,18.6
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,28,14.0,19.2
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,29,15.6,18.3
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,30,15.6,17.9
230001,Cerro Moreno  Antofagasta  Ap.,23&deg 27' 13'' S,112,2023,8,31,15.1,17.8
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,1,12.1,18.0
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,2,10.8,18.1
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,3,13.6,18.6
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,4,13.3,20.1
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,5,15.4,19.3
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,6,9.2,20.4
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,7,18.0,20.9
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,8,17.8,20.8
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,9,13.1,22.0
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,10,18.9,22.7
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,11,20.5,22.7
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,12,16.1,21.8
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,13,15.5,21.5
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,14,14.9,20.5
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,15,16.3,21.9
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,16,17.9,22.6
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,17,9.5,22.9
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,18,16.5,20.2
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,19,16.3,21.6
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,20,15.9,20.3
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,21,13.9,18.2
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,22,13.1,17.8
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,23,13.7,18.3
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,24,10.1,19.0
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,25,7.7,19.4
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,26,16.4,19.6
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,27,11.6,18.9
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,28,11.1,18.9
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,29,14.0,21.8
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,30,16.2,22.0
270001,Mataveri  Isla de Pascua Ap.,27&deg 9' 32'' S,44,2023,8,31,13.4,22.6
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,1,11.8,17.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,2,14.0,18.6
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,3,13.4,19.5
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,4,12.5,17.9
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,5,13.6,15.9
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,6,13.5,20.1
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,7,7.7,17.9
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,8,12.9,19.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,9,8.5,18.5
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,10,10.7,20.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,11,8.2,19.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,12,13.5,19.1
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,13,13.0,19.2
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,14,13.1,18.5
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,15,13.9,20.1
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,16,14.3,19.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,17,8.6,19.3
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,18,9.4,21.5
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,19,9.2,27.6
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,20,13.8,28.1
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,21,12.8,20.8
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,22,11.1,22.0
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,23,8.1,22.7
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,24,9.0,18.7
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,25,11.4,19.2
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,26,8.3,20.7
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,27,9.2,19.2
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,28,10.6,18.7
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,29,7.3,20.0
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,30,9.6,18.7
270008,"Desierto de Atacama, Caldera  Ad.",27&deg 15' 16'' S,197,2023,8,31,9.7,17.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,1,6.5,17.0
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,2,10.4,17.7
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,3,13.1,15.7
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,4,12.3,15.3
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,5,12.3,14.9
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,6,12.5,18.9
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,7,7.7,15.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,8,12.0,17.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,9,11.5,15.8
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,10,9.3,19.5
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,11,9.3,20.3
